Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 23542], 1=[20000000, 22716], 2=[20000000, 14875], 3=[20000000, 15135]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23.28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0.990, iF=0.900, nClusters=4, aProb=0.50
Clusters INIT Lower Bound: [0=6381, 1=5555, 2=-2285, 3=-2025]
Cooling factor: 0.990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
1		2.000		1.00		0.000		1.00		523577		1010699		1534276		40464		20.01s
2		1.980		0.99		-0.097		1.00		425117		1109159		1534276		49558		15.86s
3		1.960		0.98		-0.072		0.99		450577		1083699		1534276		51304		27.29s
4		1.941		0.97		-0.051		0.99		472268		1062008		1534276		51366		16.41s
5		1.921		0.96		-0.040		0.98		483086		1051190		1534276		51981		25.68s
6		1.902		0.95		-0.031		0.98		492255		1042021		1534276		52815		17.10s
7		1.883		0.94		-0.029		0.97		494272		1040004		1534276		53249		27.83s
8		1.864		0.93		-0.022		0.97		501216		1033060		1534276		53095		20.67s
9		1.845		0.92		-0.010		0.96		513259		1021017		1534276		53164		30.55s
10		1.827		0.91		-0.003		0.96		520285		1013991		1534276		53491		17.04s
11		1.809		0.90		0.004		0.95		527569		1006707		1534276		53676		27.47s
12		1.791		0.90		0.024		0.95		547379		986897		1534276		53777		17.25s
13		1.773		0.89		0.022		0.94		545495		988781		1534276		53810		36.88s
14		1.755		0.88		0.033		0.94		557303		976973		1534276		53887		17.56s
15		1.737		0.87		0.031		0.93		554648		979628		1534276		53887		17.72s
16		1.720		0.86		0.023		0.93		546853		987423		1534276		53950		25.79s
