Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 25330], 1=[20000000, 25574], 2=[20000000, 25364]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=1,000, nClusters=3, aProb=0,50
Clusters INIT Lower Bound: [0=-92, 1=151, 2=-58]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
1		2,000		1,00		0,000		1,00		510713		1023563		1534276		16839		20,25s
2		1,980		0,99		0,021		1,00		532236		1002040		1534276		26926		24,97s
3		1,960		0,98		0,040		0,99		551223		983053		1534276		33367		18,84s
4		1,941		0,97		0,058		0,99		569991		964285		1534276		37797		23,26s
5		1,921		0,96		0,077		0,98		589576		944700		1534276		40984		18,26s
6		1,902		0,95		0,098		0,98		610683		923593		1534276		43027		21,52s
7		1,883		0,94		0,112		0,97		625084		909192		1534276		44663		17,49s
8		1,864		0,93		0,127		0,97		640328		893948		1534276		45704		23,27s
9		1,845		0,92		0,138		0,96		651898		882378		1534276		46537		18,08s
10		1,827		0,91		0,151		0,96		665344		868932		1534276		47215		24,39s
11		1,809		0,90		0,167		0,95		681360		852916		1534276		47716		18,46s
12		1,791		0,90		0,171		0,95		685760		848516		1534276		48073		22,27s
13		1,773		0,89		0,179		0,94		694397		839879		1534276		48405		18,14s
14		1,755		0,88		0,188		0,94		703639		830637		1534276		48697		22,05s
15		1,737		0,87		0,198		0,93		713221		821055		1534276		48772		17,48s
16		1,720		0,86		0,204		0,93		719439		814837		1534276		48921		23,87s
17		1,703		0,85		0,208		0,93		723476		810800		1534276		49124		18,19s
18		1,686		0,84		0,215		0,92		731092		803184		1534276		49218		22,80s
19		1,669		0,83		0,219		0,92		734656		799620		1534276		49363		18,03s
20		1,652		0,83		0,224		0,91		740081		794195		1534276		49528		22,49s
21		1,636		0,82		0,236		0,91		752627		781649		1534276		49616		19,24s
22		1,619		0,81		0,236		0,90		752355		781921		1534276		49683		21,29s
23		1,603		0,80		0,236		0,90		752758		781518		1534276		49680		18,08s
24		1,587		0,79		0,245		0,90		761686		772590		1534276		49599		21,28s
25		1,571		0,79		0,254		0,89		770352		763924		1534276		49646		18,24s
26		1,556		0,78		0,268		0,89		784942		749334		1534276		49698		22,77s
27		1,540		0,77		0,273		0,89		790012		744264		1534276		49805		18,66s
28		1,525		0,76		0,273		0,88		790428		743848		1534276		49824		23,38s
29		1,509		0,75		0,273		0,88		789968		744308		1534276		49895		17,66s
30		1,494		0,75		0,272		0,87		789603		744673		1534276		50048		23,04s
31		1,479		0,74		0,277		0,87		793915		740361		1534276		50060		18,21s
32		1,465		0,73		0,284		0,87		800980		733296		1534276		50039		24,50s
33		1,450		0,72		0,289		0,86		806321		727955		1534276		50021		18,67s
34		1,435		0,72		0,292		0,86		809201		725075		1534276		50112		23,69s
